Model,Rouge-1R,Rouge-1P,Rouge-1F,Rouge-2R,Rouge-2P,Rouge-2F,Rouge-LR,Rouge-LP,Rouge-LF
Random_10,0.2673,0.2774,0.2526,0.068,0.0747,0.0642,0.2369,0.2463,0.204
Head_10,0.4219,0.3711,0.371,0.1747,0.1458,0.1459,0.3807,0.3334,0.3061
TextRank_10,0.403,0.3545,0.3522,0.1545,0.1328,0.1291,0.3607,0.3171,0.2869
BM25PlusEsp025_10,0.4194,0.3336,0.3466,0.1609,0.1249,0.1268,0.3744,0.2975,0.279
USE_Base_10,0.3598,0.3408,0.327,0.1241,0.118,0.1095,0.3214,0.304,0.2667
USE_Large_10,0.3555,0.332,0.3201,0.1201,0.1126,0.1052,0.3168,0.2957,0.2601
USE_Xling_10,0.3558,0.3433,0.3262,0.1215,0.1174,0.1082,0.3169,0.3059,0.2656
Random_20,0.4158,0.244,0.2901,0.1314,0.0723,0.0856,0.3766,0.2205,0.2267
Head_20,0.588,0.3126,0.3901,0.2803,0.1282,0.165,0.5449,0.2886,0.307
TextRank_20,0.5471,0.2883,0.3563,0.2414,0.1073,0.1367,0.5041,0.2649,0.2768
BM25PlusEsp025_20,0.5663,0.2754,0.3496,0.2506,0.1026,0.1338,0.5212,0.2528,0.2659
USE_Base_20,0.5185,0.2803,0.344,0.2151,0.0999,0.1256,0.4767,0.2569,0.2681
USE_Large_20,0.5162,0.274,0.3384,0.2119,0.0969,0.1226,0.474,0.2509,0.2624
USE_Xling_20,0.5121,0.3428,0.2811,0.2099,0.1237,0.0986,0.4701,0.2679,0.2573
